point_id,easting_m,northing_m,elevation_m,code
1,0,0,100.00,GROUND
2,10,0,100.15,GROUND
3,20,0,100.30,GROUND
4,30,0,100.45,GROUND
5,40,0,100.60,GROUND
6,50,0,100.75,GROUND
7,60,0,100.90,GROUND
8,70,0,100.00,GROUND
9,80,0,100.15,GROUND
10,90,0,100.30,GROUND
11,100,0,100.45,GROUND
12,110,0,100.60,GROUND
13,120,0,100.75,GROUND
14,130,0,100.90,GROUND
15,140,0,100.00,GROUND
16,150,0,100.15,GROUND
17,160,0,100.30,GROUND
18,170,0,100.45,GROUND
19,180,0,100.60,GROUND
20,190,0,100.75,GROUND
21,200,0,100.90,GROUND
22,210,0,100.00,GROUND
23,220,0,100.15,GROUND
24,230,0,100.30,GROUND
25,240,0,100.45,GROUND
26,250,0,100.60,GROUND
27,260,0,100.75,GROUND
28,270,0,100.90,GROUND
29,280,0,100.00,GROUND
30,290,0,100.15,GROUND
31,300,0,100.30,GROUND
